State,year,Business,Holiday,Other,Visiting
South Australia,2003,1249.856572,2428.179669,279.816419,1867.99118
South Australia,2004,1254.106963,2659.397589,309.6595171,2047.284426
South Australia,2005,944.5094687,2413.292078,303.1815989,1690.778724
South Australia,2006,1024.296061,2692.615714,304.565596,1742.992133
South Australia,2007,1131.09703,2660.736466,292.9045326,1831.351554
South Australia,2008,1085.445613,2515.345841,234.1059658,1746.477173
South Australia,2009,1004.377722,2504.933195,281.7655148,1681.598846
South Australia,2010,910.1687069,2413.592977,293.1543735,1521.219132
South Australia,2011,1050.031456,2559.051106,325.8422958,1670.005688
South Australia,2012,1097.48816,2512.499198,326.7163269,1637.612994
South Australia,2013,968.7148157,2567.098241,384.2641151,1725.041972
South Australia,2014,1033.759963,2429.419342,329.6190934,1892.120121
South Australia,2015,1194.048349,2816.930451,355.1363525,2028.567722
South Australia,2016,1366.659067,2806.079307,460.1510026,2074.78984
Victoria,1998,3140.49493,9363.592086,521.8960452,6771.362472
Victoria,1999,2792.256702,8697.806794,597.0148873,5763.99023
Victoria,2000,3384.584413,8650.829314,725.3543807,6217.562692
Victoria,2001,3089.709854,8973.186142,782.4310092,6161.270692
Victoria,2002,3027.958967,8589.804851,757.2254781,6652.683251
Victoria,2003,3111.836702,8558.954284,570.1692251,7033.131242
Victoria,2004,3102.503723,8394.176397,709.3954678,6871.044081
Victoria,2005,2875.195267,7968.114408,747.9900547,6006.237412
Victoria,2006,2837.40822,8519.61258,735.011888,6522.176086
Victoria,2007,2989.115287,8664.723457,680.9604121,6264.16759
Victoria,2008,2760.789516,8806.650052,578.6256474,6050.875693
Victoria,2009,2762.131014,8189.477846,712.9162862,5760.039455
Victoria,2010,2742.715893,8289.538025,665.5277775,5745.63507
Victoria,2011,3041.206153,8801.299759,729.6129843,6150.302633
Victoria,2012,3040.306425,8894.02454,714.1374658,6453.058164
Victoria,2013,3052.687855,8947.253232,702.2371838,6745.15609
Victoria,2014,3639.521807,9370.31005,998.8381317,7657.14987
Victoria,2015,3875.660102,9970.008989,1092.056239,7850.82961
Victoria,2016,3807.561255,10352.66114,1169.492723,7914.699136
Western Australia,1998,1488.354948,3060.978192,246.041828,1850.051743
Western Australia,1999,1365.463228,3308.683308,345.7629891,1897.059904
Western Australia,2000,1305.745092,3197.524929,352.7510701,1876.410819
Western Australia,2001,1757.752804,3021.95553,311.2895848,1990.613605
Western Australia,2002,1584.677463,3075.503722,431.7852651,2168.264838
Western Australia,2003,1411.768685,3048.239719,336.6923135,2176.250213
Western Australia,2004,1374.200336,3126.038312,342.2409468,2176.466292
Western Australia,2005,1333.411089,2736.833419,317.8320755,2030.674084
Western Australia,2006,1529.352754,3103.146578,355.68093,2182.422884
Western Australia,2007,1562.450924,3102.207019,353.5594986,1960.27185
Western Australia,2008,1392.70547,2945.060062,283.6873414,1810.442164
Western Australia,2009,1161.581992,2543.618192,275.3330129,1780.899774
Western Australia,2010,1247.228139,2432.823857,335.4838193,1515.14666
Western Australia,2011,1393.303056,2658.795488,363.022504,1762.206367
Western Australia,2012,1553.283522,2778.940364,303.2475182,2018.522124
Western Australia,2013,1568.830548,3033.432607,363.3598312,2074.65292
Western Australia,2014,2172.249082,3009.159359,443.3223146,2536.238728
Western Australia,2015,2555.686876,3400.206993,446.9494905,2478.548885
Western Australia,2016,2801.290407,4001.54851,510.2389798,2927.096396
